Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2021,NY,New York,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,H.S. or G.E.D.,Education Attained,1924,21.2,19.6,22.7,3717,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,36,EDUCA2,CAT5,_MENT14D,RESP223,"(42.82700103200045, -75.54397042699964)"
2021,IA,Iowa,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,45-54,Age Group,173,12.8,10.6,15.0,3682,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,19,AGE04,CAT3,_MENT14D,RESP224,"(42.46940091300047, -93.81649055599968)"
2021,MS,Mississippi,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Less than H.S.,Education Attained,60,14.8,10.4,19.2,3714,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,28,EDUCA1,CAT5,_MENT14D,RESP223,"(32.745510099000455, -89.53803082499968)"
2021,NE,Nebraska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"White, non-Hispanic",Race/Ethnicity,3000,26.6,25.5,27.7,3690,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,31,RACE01,CAT4,_MENT14D,RESP223,"(41.6410409880005, -99.36572062299967)"
2021,NV,Nevada,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"White, non-Hispanic",Race/Ethnicity,1129,55.6,52.4,58.8,3689,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,32,RACE01,CAT4,_MENT14D,RESP222,"(39.493240390000494, -117.07184056399967)"
2021,KY,Kentucky,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,College graduate,Education Attained,182,10.9,9.0,12.9,3724,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,21,EDUCA4,CAT5,_MENT14D,RESP224,"(37.645970271000465, -84.77497104799966)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,Some post-H.S.,Education Attained,213,13.1,10.7,15.5,3721,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,02,EDUCA3,CAT5,_MENT14D,RESP224,"(64.84507995700051, -147.72205903599973)"
2021,MN,Minnesota,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"$200,000+",Household Income,49,5.8,3.9,7.7,3745,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,27,INCOME07,CAT6,_MENT14D,RESP224,"(46.35564873600049, -94.79420050299967)"
2021,MN,Minnesota,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,112,40.5,32.7,48.2,3707,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,27,RACE07,CAT4,_MENT14D,RESP222,"(46.35564873600049, -94.79420050299967)"
2021,VA,Virginia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"$100,000-$199,999",Household Income,1137,57.7,54.5,60.8,3740,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,51,INCOME06,CAT6,_MENT14D,RESP222,"(37.54268067400045, -78.45789046299967)"
2021,WV,West Virginia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Black, non-Hispanic",Race/Ethnicity,46,28.1,20.0,36.2,3693,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,54,RACE02,CAT4,_MENT14D,RESP223,"(38.66551020200046, -80.71264013499967)"
2021,WI,Wisconsin,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,25-34,Age Group,100,21.4,16.8,26.0,3676,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,55,AGE02,CAT3,_MENT14D,RESP224,"(44.39319117400049, -89.81637074199966)"
2021,CA,California,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,35-44,Age Group,160,17.1,14.0,20.2,3679,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,06,AGE03,CAT3,_MENT14D,RESP224,"(37.63864012300047, -120.99999953799971)"
2021,TX,Texas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Less than $15,000",Household Income,146,18.9,14.2,23.6,3726,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,48,INCOME01,CAT6,_MENT14D,RESP223,"(31.827240407000488, -99.42677020599967)"
2021,UT,Utah,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"$15,000-$24,999",Household Income,131,31.6,26.0,37.1,3729,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,49,INCOME02,CAT6,_MENT14D,RESP223,"(39.360700171000474, -111.58713063499971)"
2021,WY,Wyoming,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,Female,Gender,1576,53.3,50.2,56.4,3668,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,56,SEX2,CAT2,_MENT14D,RESP222,"(43.23554134300048, -108.10983035299967)"
2021,VA,Virginia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,41,20.5,12.0,29.1,3709,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,51,RACE07,CAT4,_MENT14D,RESP224,"(37.54268067400045, -78.45789046299967)"
2021,TX,Texas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,18-24,Age Group,142,15.9,12.1,19.8,3673,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,48,AGE01,CAT3,_MENT14D,RESP224,"(31.827240407000488, -99.42677020599967)"
2021,NY,New York,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,H.S. or G.E.D.,Education Attained,1404,13.8,12.6,15.0,3718,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,36,EDUCA2,CAT5,_MENT14D,RESP224,"(42.82700103200045, -75.54397042699964)"
2021,CT,Connecticut,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,45-54,Age Group,205,12.5,10.3,14.8,3682,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,09,AGE04,CAT3,_MENT14D,RESP224,"(41.56266102000046, -72.64984095199964)"
2021,NY,New York,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,18-24,Age Group,680,34.1,31.0,37.2,3672,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,36,AGE01,CAT3,_MENT14D,RESP223,"(42.82700103200045, -75.54397042699964)"
2021,IA,Iowa,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"$35,000-$49,999",Household Income,266,25.4,22.0,28.9,3735,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,19,INCOME04,CAT6,_MENT14D,RESP223,"(42.46940091300047, -93.81649055599968)"
2021,WI,Wisconsin,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Male,Gender,650,25.7,23.3,28.0,3666,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,55,SEX1,CAT2,_MENT14D,RESP223,"(44.39319117400049, -89.81637074199966)"
2021,VT,Vermont,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,56,55.5,39.2,71.9,3707,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,50,RACE07,CAT4,_MENT14D,RESP222,"(43.62538123900049, -72.51764079099962)"
2021,MI,Michigan,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"$35,000-$49,999",Household Income,140,14.5,11.8,17.2,3736,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,26,INCOME04,CAT6,_MENT14D,RESP224,"(44.6613195430005, -84.71439026999968)"
2021,GA,Georgia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,Male,Gender,2412,65.3,62.7,67.8,3665,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,13,SEX1,CAT2,_MENT14D,RESP222,"(32.83968109300048, -83.62758034599966)"
2021,GU,Guam,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,55-64,Age Group,227,67.2,55.9,78.5,3683,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,66,AGE05,CAT3,_MENT14D,RESP222,"(13.444304, 144.793731)"
2021,ME,Maine,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,Male,Gender,3588,66.7,64.7,68.6,3665,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,23,SEX1,CAT2,_MENT14D,RESP222,"(45.254228894000505, -68.98503133599962)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,55-64,Age Group,192,11.2,9.4,13.0,3685,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,08,AGE05,CAT3,_MENT14D,RESP224,"(38.843840757000464, -106.13361092099967)"
2021,CA,California,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,65+,Age Group,168,10.1,7.8,12.4,3688,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,06,AGE09,CAT3,_MENT14D,RESP224,"(37.63864012300047, -120.99999953799971)"
2021,KS,Kansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"$200,000+",Household Income,496,69.7,65.5,73.9,3743,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,20,INCOME07,CAT6,_MENT14D,RESP222,"(38.34774030000045, -98.20078122699965)"
2021,DC,District of Columbia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,College graduate,Education Attained,771,42.8,40.2,45.5,3723,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,11,EDUCA4,CAT5,_MENT14D,RESP223,"(38.89037138500049, -77.03196112699965)"
2021,MD,Maryland,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,15,17.0,7.5,26.4,3696,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,24,RACE03,CAT4,_MENT14D,RESP223,"(39.29058096400047, -76.60926011099963)"
2021,CT,Connecticut,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"$15,000-$24,999",Household Income,95,18.2,12.9,23.6,3730,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,09,INCOME02,CAT6,_MENT14D,RESP224,"(41.56266102000046, -72.64984095199964)"
2021,IL,Illinois,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"$25,000-$34,999",Household Income,180,54.8,46.7,62.8,3731,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,17,INCOME03,CAT6,_MENT14D,RESP222,"(40.48501028300046, -88.99771017799969)"
2021,NH,New Hampshire,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"$100,000-$199,999",Household Income,295,33.4,29.5,37.4,3741,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,33,INCOME06,CAT6,_MENT14D,RESP223,"(43.65595011300047, -71.50036091999965)"
2021,SC,South Carolina,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,41,27.3,16.2,38.5,3708,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,45,RACE07,CAT4,_MENT14D,RESP223,"(33.998821303000454, -81.04537120699968)"
2021,WA,Washington,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Some post-H.S.,Education Attained,1022,32.3,30.3,34.3,3720,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,53,EDUCA3,CAT5,_MENT14D,RESP223,"(47.52227862900048, -120.47001078999972)"
2021,CA,California,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Overall,Overall,1817,27.3,25.8,28.8,3663,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,06,BO1,CAT1,_MENT14D,RESP223,"(37.63864012300047, -120.99999953799971)"
2021,GA,Georgia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,21,29.1,15.4,42.7,3705,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,13,RACE06,CAT4,_MENT14D,RESP223,"(32.83968109300048, -83.62758034599966)"
2021,NM,New Mexico,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Overall,Overall,1437,23.9,22.4,25.5,3663,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,35,BO1,CAT1,_MENT14D,RESP223,"(34.52088095200048, -106.24058098499967)"
2021,RI,Rhode Island,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,59,54.4,41.7,67.1,3698,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,44,RACE04,CAT4,_MENT14D,RESP222,"(41.70828019300046, -71.52247031399963)"
2021,NJ,New Jersey,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,H.S. or G.E.D.,Education Attained,334,21.4,18.7,24.2,3717,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,34,EDUCA2,CAT5,_MENT14D,RESP223,"(40.13057004800049, -74.27369128799967)"
2021,GA,Georgia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,H.S. or G.E.D.,Education Attained,291,15.0,12.6,17.4,3718,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,13,EDUCA2,CAT5,_MENT14D,RESP224,"(32.83968109300048, -83.62758034599966)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"$50,000-$99,999",Household Income,393,29.2,25.7,32.7,3738,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,02,INCOME05,CAT6,_MENT14D,RESP223,"(64.84507995700051, -147.72205903599973)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,35-44,Age Group,225,52.7,47.4,58.0,3677,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,05,AGE03,CAT3,_MENT14D,RESP222,"(34.74865012400045, -92.27449074299966)"
2021,NY,New York,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,55-64,Age Group,1590,19.6,18.0,21.2,3684,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,36,AGE05,CAT3,_MENT14D,RESP223,"(42.82700103200045, -75.54397042699964)"
2021,OK,Oklahoma,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Some post-H.S.,Education Attained,357,26.0,23.2,28.8,3720,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,40,EDUCA3,CAT5,_MENT14D,RESP223,"(35.47203135600046, -97.52107021399968)"
2021,NE,Nebraska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,66,40.7,28.9,52.6,3696,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,31,RACE03,CAT4,_MENT14D,RESP223,"(41.6410409880005, -99.36572062299967)"
2021,ND,North Dakota,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Overall,Overall,1181,24.2,22.7,25.7,3663,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,38,BO1,CAT1,_MENT14D,RESP223,"(47.47531977900047, -100.11842104899966)"
2021,GA,Georgia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,35-44,Age Group,295,28.0,24.3,31.7,3678,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,13,AGE03,CAT3,_MENT14D,RESP223,"(32.83968109300048, -83.62758034599966)"
2021,MI,Michigan,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"$35,000-$49,999",Household Income,240,24.8,21.4,28.2,3735,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,26,INCOME04,CAT6,_MENT14D,RESP223,"(44.6613195430005, -84.71439026999968)"
2021,OK,Oklahoma,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,Less than H.S.,Education Attained,213,60.1,53.8,66.3,3713,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,40,EDUCA1,CAT5,_MENT14D,RESP222,"(35.47203135600046, -97.52107021399968)"
2021,UT,Utah,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,23,25.0,14.3,35.6,3709,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,49,RACE07,CAT4,_MENT14D,RESP224,"(39.360700171000474, -111.58713063499971)"
2021,OK,Oklahoma,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,H.S. or G.E.D.,Education Attained,225,18.1,15.6,20.7,3718,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,40,EDUCA2,CAT5,_MENT14D,RESP224,"(35.47203135600046, -97.52107021399968)"
2021,ND,North Dakota,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,35,52.5,36.9,68.0,3707,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,38,RACE07,CAT4,_MENT14D,RESP222,"(47.47531977900047, -100.11842104899966)"
2021,PA,Pennsylvania,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,Hispanic,Race/Ethnicity,61,16.6,11.1,22.2,3712,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,42,RACE08,CAT4,_MENT14D,RESP224,"(40.79373015200048, -77.86070029399963)"
2021,LA,Louisiana,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,45-54,Age Group,147,17.5,14.4,20.6,3682,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,22,AGE04,CAT3,_MENT14D,RESP224,"(31.31266064400046, -92.44568007099969)"
2021,KY,Kentucky,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,35-44,Age Group,368,56.0,51.3,60.8,3677,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,21,AGE03,CAT3,_MENT14D,RESP222,"(37.645970271000465, -84.77497104799966)"
2021,WV,West Virginia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,35-44,Age Group,158,20.2,17.0,23.4,3679,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,54,AGE03,CAT3,_MENT14D,RESP224,"(38.66551020200046, -80.71264013499967)"
2021,MN,Minnesota,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"$200,000+",Household Income,595,60.7,57.0,64.4,3743,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,27,INCOME07,CAT6,_MENT14D,RESP222,"(46.35564873600049, -94.79420050299967)"
2021,TN,Tennessee,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"White, non-Hispanic",Race/Ethnicity,943,25.1,23.4,26.9,3690,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,47,RACE01,CAT4,_MENT14D,RESP223,"(35.68094058000048, -85.77449091399967)"
2021,MD,Maryland,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,50,18.7,11.8,25.6,3709,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,24,RACE07,CAT4,_MENT14D,RESP224,"(39.29058096400047, -76.60926011099963)"
2021,NJ,New Jersey,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,65+,Age Group,1559,73.7,71.1,76.3,3686,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,34,AGE09,CAT3,_MENT14D,RESP222,"(40.13057004800049, -74.27369128799967)"
2021,OK,Oklahoma,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,Overall,Overall,3313,58.8,57.0,60.5,3662,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,40,BO1,CAT1,_MENT14D,RESP222,"(35.47203135600046, -97.52107021399968)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Hispanic,Race/Ethnicity,436,24.3,21.8,26.8,3711,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,04,RACE08,CAT4,_MENT14D,RESP223,"(34.865970280000454, -111.76381127699972)"
2021,TX,Texas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,83,67.9,49.9,85.9,3704,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,48,RACE06,CAT4,_MENT14D,RESP222,"(31.827240407000488, -99.42677020599967)"
2021,KS,Kansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Female,Gender,2564,29.4,28.2,30.6,3669,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,20,SEX2,CAT2,_MENT14D,RESP223,"(38.34774030000045, -98.20078122699965)"
2021,KY,Kentucky,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"White, non-Hispanic",Race/Ethnicity,940,22.3,20.6,23.9,3690,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,21,RACE01,CAT4,_MENT14D,RESP223,"(37.645970271000465, -84.77497104799966)"
2021,OH,Ohio,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Male,Gender,1253,22.3,20.8,23.8,3666,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,39,SEX1,CAT2,_MENT14D,RESP223,"(40.06021014100048, -82.40426005599966)"
2021,MT,Montana,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"$50,000-$99,999",Household Income,442,26.2,23.6,28.8,3738,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,30,INCOME05,CAT6,_MENT14D,RESP223,"(47.06652897200047, -109.42442064499971)"
2021,MN,Minnesota,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,25-34,Age Group,731,42.6,40.0,45.2,3674,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,27,AGE02,CAT3,_MENT14D,RESP222,"(46.35564873600049, -94.79420050299967)"
2021,NJ,New Jersey,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Less than $15,000",Household Income,57,21.0,14.8,27.2,3727,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,34,INCOME01,CAT6,_MENT14D,RESP224,"(40.13057004800049, -74.27369128799967)"
2021,CT,Connecticut,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"White, non-Hispanic",Race/Ethnicity,3706,59.2,57.4,60.9,3689,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,09,RACE01,CAT4,_MENT14D,RESP222,"(41.56266102000046, -72.64984095199964)"
2021,CA,California,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,28,33.2,20.3,46.1,3705,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,06,RACE06,CAT4,_MENT14D,RESP223,"(37.63864012300047, -120.99999953799971)"
2021,ID,Idaho,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"$35,000-$49,999",Household Income,113,16.2,12.8,19.5,3736,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,16,INCOME04,CAT6,_MENT14D,RESP224,"(43.682630005000476, -114.3637300419997)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,Some post-H.S.,Education Attained,735,30.3,28.1,32.4,3720,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,08,EDUCA3,CAT5,_MENT14D,RESP223,"(38.843840757000464, -106.13361092099967)"
2021,UT,Utah,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Black, non-Hispanic",Race/Ethnicity,50,64.6,52.3,76.9,3692,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,49,RACE02,CAT4,_MENT14D,RESP222,"(39.360700171000474, -111.58713063499971)"
